School_Name,District,TALUK
AATHREIYA SCHOOL FOR EXCELLENCE,,Aravakurichi
ABACUS INT SCHOOL,,Kadavur
ABC MAT HR SEC SCHOOL,,Krishnarayapuram
ABC MATRIC H.S.S. KOLLEMCODE,,Kulithalai
"ABCS KENBRIDGE HR. SEC. SCHOOL, SINGANENDAL, RAMANATHAPURAM",,Manmangalam
"ABDUL KALAM MATRICULATION SCHOOL,E. SATHANOOR",,Pugalur
ABHIJAY NURSERY & PRIMARY SCHOOL,,Kallikudi
"ABHSS,VST, TIRUVARUR",,Madurai (East)
ABIRAMI MATRICULATION SCHOOL ALANGUDI,,Madurai (North)
ABRAHAM MEMORIAL .HSS-MARUNTHENCODE,,Madurai (South)
ABS GLOBAL SMART SCHOOL,,Madurai (West)
ABS VIDHYA MANDHIR,,Melur
ABS VIDHYAALAYAA MATRIC HIGHER SECONDARY SCHOOL,,Peraiyur
"ABTM MIDDLE SCHOOL,NAZARATHPURAM, ST. THOMAS MOUNT",,Thirumangalam
ABU MATRIC HSS- PUDUPATTINAM,,Thiruparankundram
ABUL KALAM AZAD M.S. MELUR,,Usilampatti
